,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,위도,경도
306,B000009774,왕산중학교,중학교,1970-06-09,공립,본교,운영,강원도 강릉시 왕산면 도마리 325-18,강원도 강릉시 왕산면 백두대간로 2005,7800000,강원도교육청,37.67297147,128.8367696
309,B000010159,청양중학교,중학교,1931-09-01,공립,본교,운영,충청남도 청양군 청양읍 송방리 133-1,충청남도 청양군 청양읍 칠갑산로 179,8140000,충청남도교육청,36.45232466,126.79556
312,B000008691,복현중학교,중학교,1985-03-01,공립,본교,운영,대구광역시 북구 복현동 301-17,대구광역시 북구 동북로65길 28,7240000,대구광역시교육청,35.89394102,128.6279506
314,B000008238,중앙중학교,중학교,1908-06-20,사립,본교,운영,서울특별시 종로구 계동 1-23,서울특별시 종로구 창덕궁길 164,7010000,서울특별시교육청,37.58378822,126.9874726
315,B000010912,금천중학교,중학교,1952-02-10,공립,본교,운영,경상북도 청도군 금천면 동곡리 1035,경상북도 청도군 금천면 선암로 574-11,8750000,경상북도교육청,35.68807595,128.8947636
316,B000008523,성동중학교,중학교,1972-06-03,공립,본교,운영,부산광역시 남구 문현동 791,부산광역시 남구 남동천로 38,7150000,부산광역시교육청,35.13993339,129.0662635
318,B000008237,상명대학교사범대학부속여자중학교,중학교,1966-11-01,사립,본교,운영,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20,7010000,서울특별시교육청,37.60410891,126.9551595
322,B000011942,동국대학교사범대학부속고등학교,고등학교,1947-06-24,사립,본교,운영,서울특별시 동대문구 장안동 328,서울특별시 동대문구 장안벚꽃로 201,7010000,서울특별시교육청,37.57804718,127.075133
323,B000011816,부일외국어고등학교,고등학교,1995-03-01,사립,본교,운영,부산광역시 사하구 감천동 634-61,부산광역시 사하구 감천로73번길 36,7150000,부산광역시교육청,35.09073609,129.0025604
324,B000011104,율하중학교,중학교,2010-03-01,공립,본교,운영,경상남도 김해시 율하동 1293,경상남도 김해시 율하1로 39,9010000,경상남도교육청,35.17508098,128.808001
325,B000012153,삼성여자고등학교,고등학교,1975-03-03,사립,본교,운영,부산광역시 사하구 감천동 598-1,부산광역시 사하구 감천로43번길 45,7150000,부산광역시교육청,35.09422497,128.9982328
327,B000011160,영산중학교,중학교,1951-06-25,공립,본교,운영,경상남도 창녕군 영산면 서리 253,경상남도 창녕군 영산면 영산계성로 87,9010000,경상남도교육청,35.4601691,128.5242737
330,B000012048,서울문영여자고등학교,고등학교,1991-11-07,사립,본교,운영,서울특별시 관악구 봉천동 1695,서울특별시 관악구 관악로 85,7010000,서울특별시교육청,37.47290457,126.9509181
337,B000012181,영신고등학교,고등학교,1946-10-17,사립,본교,운영,대구광역시 동구 봉무동 524,대구광역시 동구 팔공로50길 32,7240000,대구광역시교육청,35.92000422,128.646424
339,B000022613,거제장평중학교,중학교,2013-03-01,공립,본교,운영,경상남도 거제시 장평동 148,경상남도 거제시 장평4로 40,9010000,경상남도교육청,34.88608569,128.6064665
340,B000022983,연무여자중학교,중학교,1969-11-18,사립,본교,운영,충청남도 논산시 연무읍 동산리 879,충청남도 논산시 연무읍 동안로887번길 5,8140000,충청남도교육청,36.13536466,127.1046328
342,B000012154,성일여자고등학교,고등학교,1988-03-01,사립,본교,운영,부산광역시 사하구 신평동 60-1,부산광역시 사하구 다대로 161,7150000,부산광역시교육청,35.08949951,128.9800626
345,B000013479,대영고등학교,고등학교,1987-12-15,공립,본교,운영,서울특별시 영등포구 신길동 336-2,서울특별시 영등포구 도림로86길 16,7010000,서울특별시교육청,37.50366109,126.9058657
347,B000009024,가수원중학교,중학교,1988-03-05,공립,본교,운영,대전광역시 서구 가수원동 806-18,대전광역시 서구 가수원로 26,7430000,대전광역시교육청,36.29847211,127.354558
348,B000008657,동원중학교,중학교,1985-03-01,공립,본교,운영,대구광역시 수성구 만촌동 254,대구광역시 수성구 효행로2길 81,7240000,대구광역시교육청,35.87585642,128.6510708
350,B000011810,한국과학영재학교,고등학교,1990-09-07,국립,본교,운영,부산광역시 부산진구 당감동 899,부산광역시 부산진구 백양관문로 105-47,7150000,부산광역시교육청,35.16520011,129.0257844
351,B000012208,대구남산고등학교,고등학교,1953-01-31,사립,본교,운영,대구광역시 수성구 수성동1가 96-16,대구광역시 수성구 신천동로 364,7240000,대구광역시교육청,35.85731247,128.6091788
352,B000026354,고헌중학교,중학교,2020-03-01,공립,본교,운영,울산광역시 북구 화봉동 1485-1,울산광역시 북구 박상진2로 81,7480000,울산광역시교육청,35.59777915,129.364027
354,B000009788,상장중학교,중학교,1983-12-31,공립,본교,운영,강원도 태백시 황지동 123,강원도 태백시 태백로 1221,7800000,강원도교육청,37.15068611,128.9921217
356,B000009803,미로중학교,중학교,1971-04-21,공립,본교,운영,강원도 삼척시 미로면 하거노리 449,강원도 삼척시 미로면 강원남부로 3907,7800000,강원도교육청,37.41041541,129.1038915
359,B000008561,동래여자중학교,중학교,1895-10-15,사립,본교,운영,부산광역시 금정구 구서동 72-3,부산광역시 금정구 체육공원로 20,7150000,부산광역시교육청,35.24704234,129.0981972
364,B000008630,동아중학교,중학교,1946-03-10,사립,본교,운영,부산광역시 수영구 광안동 1222-23,부산광역시 수영구 호암로 55,7150000,부산광역시교육청,35.15678092,129.106984
365,B000011355,단국대학교부속소프트웨어고등학교,고등학교,1941-11-03,사립,본교,운영,서울특별시 강남구 대치동 1013-3,서울특별시 강남구 도곡로64길 21,7010000,서울특별시교육청,37.49562483,127.0577682
366,B000008405,남서울중학교,중학교,1964-11-12,공립,본교,운영,서울특별시 관악구 신림동 1690-3,서울특별시 관악구 남부순환로172길 97,7010000,서울특별시교육청,37.48213625,126.9210371
367,B000008365,봉은중학교,중학교,1986-03-01,공립,본교,운영,서울특별시 강남구 삼성동 82-7,서울특별시 강남구 영동대로128길 59,7010000,서울특별시교육청,37.51897667,127.0623894
369,B000023141,도담고등학교,고등학교,2013-03-01,공립,본교,운영,세종특별자치시 도담동 642,세종특별자치시 보듬4로 41,9300000,세종특별자치시교육청,36.51420716,127.2634446
372,B000008924,금호중앙중학교,중학교,1959-12-26,사립,본교,운영,광주광역시 북구 운암동 140,광주광역시 북구 금호로 100,7380000,광주광역시교육청,35.1785969,126.8855126
373,B000011103,월산중학교,중학교,2001-03-01,공립,본교,운영,경상남도 김해시 부곡동 806-10,경상남도 김해시 월산로 104,9010000,경상남도교육청,35.20526183,128.8039417
376,B000008184,선유중학교,중학교,1985-03-05,공립,본교,운영,서울특별시 영등포구 양평동3가 82,서울특별시 영등포구 선유로 213,7010000,서울특별시교육청,37.53328647,126.8943293
378,B000012028,독산고등학교,고등학교,2002-03-02,공립,본교,운영,서울특별시 금천구 독산동 907-34,서울특별시 금천구 문성로 64,7010000,서울특별시교육청,37.47621872,126.9109732
382,B000010586,산이중학교,중학교,1967-03-17,공립,본교,운영,전라남도 해남군 산이면 초송리 527-5,전라남도 해남군 산이면 비석길 98-2,8490000,전라남도교육청,34.6457944,126.4478198
