29,전남,4분위,75414,39601,147378,38709,47213,79141,37264,47211,76220,1445,47276,2921,36705,31573,68237,79080,40994,151661,41150,49945,82532,38902,49945,77854,2248,49943,4678,37930,31283,69129,80578,43446,150202,43461,52035,83822,40990,52011,79163,2471,52429,4659,37117,33390,66380,80485,45561,147995,42329,54489,80069,40255,54452,76208,2074,55207,3861,38156,35656,67926,82653,47464,149891,44689,57034,82441,42880,57033,79333,1809,57056,3108,37964,36200,67450,85238,913644,148582,48337,1334399,86359,46167,1333494,82844,2170,1350200,3515,36901,454768,62223,84531,50823,143868,52016,66291,89211,49483,66277,85415,2533,66562,3796,32515,26076,54657
30,전남,5분위,75984,51689,162228,36293,57061,76963,34521,57054,73534,1772,57203,3429,39691,46777,85265,78319,53751,167132,38793,60317,82241,36658,60309,77721,2135,60456,4520,39526,47306,84891,80725,56575,168477,41109,62149,83922,38637,62146,79204,2472,62183,4718,39616,50791,84555,83412,59873,172005,43665,64701,87545,40734,64642,82116,2931,65518,5429,39747,54569,84460,82493,62006,165939,42194,67271,82839,38667,67255,76362,3527,67440,6477,40299,56494,83100,86206,1185046,164641,43971,1570601,82356,40398,1569368,76225,3573,1578392,6131,42235,850482,82285,90885,62381,167394,47288,77469,84042,43499,77455,78078,3789,77629,5964,43597,46016,83352
31,전남,6분위,72157,68494,172542,36434,69534,84633,33182,69474,77741,3252,70151,6892,35723,67433,87909,75154,71404,178036,39228,73503,90929,35032,73409,81568,4196,74287,9361,35926,69111,87107,74836,74608,170176,41295,75709,91869,37268,75599,84087,4027,76723,7782,33541,73254,78307,74538,78303,165785,42422,78624,92210,38043,78565,83927,4379,79135,8283,32116,77878,73575,75417,81064,164513,42996,81120,91017,38421,81061,82447,4575,81614,8570,32421,80990,73496,80118,1632423,163427,45088,1870556,90755,40388,1867868,82445,4700,1883569,8310,35030,1392219,72672,82970,84179,163241,48122,91586,92412,42404,91535,82552,5718,91965,9860,34848,73951,70829
32,전남,7분위,64311,88307,168710,35532,85627,95826,30876,85575,82988,4656,85969,12838,28779,91616,72884,67580,92051,174820,38549,90649,102535,31413,90480,83751,7136,91393,18784,29031,93912,72285,69449,95531,174463,40237,93296,103602,33638,93102,87352,6599,94284,16250,29212,98609,70861,70369,99664,172774,41099,96603,102953,34808,96481,87922,6291,97280,15031,29270,103963,69821,71208,102932,169610,42235,99327,102208,35637,99170,87510,6598,100177,14698,28973,108186,67402,69417,2169863,155466,44000,2271194,100747,36947,2264314,86493,7053,2294319,14254,25417,2036891,54719,69925,107611,143792,46155,110298,100301,39011,110206,86267,7144,110799,14034,23770,102394,43491
33,전남,8분위,56896,113745,165237,35108,108507,109042,27517,108112,83602,7591,109938,25440,21788,122186,56195,60738,118828,175833,38885,115233,120198,27722,114595,84119,11163,116815,36079,21853,125227,55635,63055,122859,177733,41480,118380,124191,30871,117991,91207,10609,119512,32984,21575,131469,53542,63468,127544,175677,42633,122379,125240,31983,122187,92953,10650,122957,32287,20835,138113,50437,63481,131428,171811,42433,125705,121843,31718,125361,90384,10715,126724,31459,21048,142967,49968,65783,2848939,167108,44950,2874583,121649,34451,2863207,92757,10499,2898333,28892,20833,2801418,45459,69741,136995,169381,47738,138527,122836,37091,138196,94173,10647,139677,28663,22003,133673,46545
34,전남,9분위,54416,149985,180422,38693,144806,138805,23623,144322,81737,15070,145564,57068,15723,162730,41617,58914,156663,192627,43162,152922,151543,22978,152154,79606,20184,153796,71937,15752,166915,41084,61425,161213,196519,45832,156763,156782,25336,155897,84809,20496,157833,71973,15593,174292,39737,63871,166744,200218,48052,161833,160440,27806,160620,90513,20246,163499,69927,15819,181663,39778,65240,172069,200003,48825,166927,159569,28712,165699,91399,20113,168679,68170,16415,187365,40434,70979,3865179,208397,52729,3845489,166042,32553,3789935,99867,20176,3890976,66175,18250,3927954,42355,73525,184605,207122,54520,183407,164555,34900,181898,101703,19620,186092,62852,19005,188041,42567
35,전남,10분위,49742,245064,180488,37315,242395,145395,31086,252447,123606,6229,192231,21789,12427,253078,35093,50654,262730,179118,38145,263205,144377,29841,279816,117324,8304,203513,27053,12509,261282,34741,53804,260974,187865,41199,258244,153243,31065,274876,120158,10134,207259,33085,12605,269898,34622,54855,272338,187221,42179,270286,152782,31544,289324,118756,10635,213821,34026,12676,279166,34439,57077,282652,189667,44222,281324,155355,33087,301502,120479,11135,221364,34876,12855,287221,34312,56878,6420723,182665,43232,6117218,147546,32228,6836628,113920,11004,5053295,33626,13646,7337124,35119,59802,319767,185856,45319,315767,149864,34717,337651,118407,10602,244105,31457,14483,332283,35992
36,제주,계,237635,69590,526057,133241,71003,323478,121101,66743,285544,12140,113500,37934,104394,67788,202579,258306,75544,569286,151199,79456,363996,130266,72032,300178,20933,125657,63818,107107,70021,205290,271578,78844,583265,162471,80929,377098,140863,73100,312880,21608,131965,64218,109107,75738,206167,289352,84165,605349,177814,85084,397765,155882,77746,333972,21932,137239,63793,111538,82701,207584,307449,89008,623946,192271,89182,414264,170032,82216,351192,22239,142438,63072,115178,88717,209682,324729,177552,635953,204283,184681,423028,181741,172292,361960,22542,289190,61068,120446,165980,212925,340856,95415,645324,215130,99280,428883,191705,92780,367970,23425,152473,60913,125726,88802,216441
37,제주,1분위,32164,16140,54580,18517,23986,39380,18322,23970,39064,195,25509,316,13647,5494,15200,35059,16023,57052,19425,24683,39622,19227,24683,39328,198,24691,294,15634,5264,17430,35442,17102,56299,20045,26012,39106,20009,26009,39048,36,27869,58,15397,5503,17193,37392,18272,58147,21846,27292,40696,21810,27290,40644,36,28727,52,15546,5595,17451,39265,18657,59854,23033,27858,41644,22930,27853,41506,103,29073,138,16232,5600,18210,39465,39204,60841,23952,60364,41554,23859,60326,41403,93,68898,151,15513,11452,19287,42669,22203,63509,25545,32323,41763,25496,32310,41687,49,39348,76,17124,7107,21746
38,제주,2분위,31066,24348,51748,17865,32691,35266,17653,32692,34920,212,32581,346,13201,13057,16482,32900,24983,54192,18499,34626,36491,18356,34616,36265,143,35878,226,14401,12597,17701,33926,26706,54437,19470,36739,36810,19413,36737,36717,57,37663,93,14456,13193,17627,34383,28735,55144,20546,38933,37906,20436,38930,37760,110,39449,146,13837,13593,17238,35621,29740,55626,21309,40747,37994,21030,40744,37637,279,41002,357,14312,13352,17632,39796,61796,62515,23341,91957,39930,22987,92004,39478,354,89223,452,16455,22064,22585,42286,35746,65320,25036,51911,41803,24761,51897,41436,275,53213,367,17250,12284,23517
