,행정구역,2016 급여총계 인원 (명),2016 급여총계 금액 (백만원),2016 과세대상근로소득(총급여) 인원 (명),2016 과세대상근로소득(총급여) 금액 (백만원),2017 급여총계 인원 (명),2017 급여총계 금액 (백만원),2017 과세대상근로소득(총급여) 인원 (명),2017 과세대상근로소득(총급여) 금액 (백만원),2018 급여총계 인원 (명),2018 급여총계 금액 (백만원),2018 과세대상근로소득(총급여) 인원 (명),2018 과세대상근로소득(총급여) 금액 (백만원),2019 급여총계 인원 (명),2019 급여총계 금액 (백만원),2019 과세대상근로소득(총급여) 인원 (명),2019 과세대상근로소득(총급여) 금액 (백만원)
53,경기안산시,265036,7502998,264023,7461456,260155,7752638,259050,7716098,265834,8218480,264826,8179444,272667,8730999,271719,8691711
54,경기안성시,68267,1943613,67936,1932462,69552,2079882,69311,2069924,71877,2240982,71627,2230201,75088,2403732,74551,2392536
55,경기안양시,225305,8024541,224456,7978367,224858,8354813,224076,8310010,227127,8785462,226432,8739004,225747,8979071,225103,8933463
56,경기양주시,72927,1859838,72644,1847743,75420,2023709,74998,2012094,80798,2269416,80487,2256037,86200,2524391,85886,2509595
57,경기양평군,28880,934928,28745,929782,29678,1006632,29515,1001585,31069,1088785,30998,1083324,32497,1165650,32329,1159961
58,경기여주시,34505,948834,34258,944080,35202,1010290,34910,1005678,36361,1092877,36027,1087436,37666,1173776,37318,1168496
59,경기연천군,13010,368749,12939,366281,12952,386623,12866,384376,13127,406413,13066,404043,13959,433135,13626,430090
60,경기오산시,83651,2608863,83366,2596168,87693,2893828,87328,2880396,93031,3169262,92688,3154682,98384,3407873,98039,3393367
61,경기용인시,365198,15173098,363721,15080230,380135,16539462,378478,16446578,402982,18031827,401439,17934503,422411,19243442,420491,19145308
62,경기의왕시,58959,2133084,58748,2120702,58695,2216488,58521,2204934,63107,2485552,62936,2473277,67117,2742592,66915,2728426
63,경기의정부시,142889,3823591,142462,3802057,148147,4157464,147634,4135971,156515,4578220,156082,4554810,164586,4981198,164038,4955699
64,경기이천시,78681,2762050,78442,2747380,81272,2879176,81045,2864975,85396,3335778,85191,3320138,90337,3696189,90064,3681619
65,경기파주시,159980,5063093,159558,5035335,169230,5586039,168677,5557633,175196,6033820,174611,6002584,181781,6263100,181026,6226763
66,경기평택시,178867,5808863,178075,5774764,186182,6356196,185301,6323962,198102,7020414,197363,6985459,211984,7667941,211275,7632884
67,경기포천시,56660,1341513,56192,1330969,57172,1438393,56438,1428228,58189,1542114,57584,1530308,59835,1660586,59251,1648956
68,경기하남시,82942,2864584,82814,2846178,91721,3348151,91559,3327979,104862,3955036,104683,3932121,117413,4527216,117128,4504521
69,경기화성시,289351,11358646,288474,11305947,320571,13424608,319260,13368629,355466,15449838,354374,15387681,382446,16510895,381154,16446290
70,강원소계,462579,14119844,461079,14012111,469971,14981942,468065,14876865,486840,16065127,484568,15957490,504341,17144070,500939,17032439
71,강원강릉시,63517,1890042,63255,1878289,63999,1986223,63814,1974576,67392,2162889,67034,2150149,69500,2295783,69138,2283387
72,강원고성군,7598,204020,7575,202865,7810,224500,7793,223310,7838,232345,7814,231189,7632,238074,7608,237063
73,강원동해시,27265,890536,27223,879785,27245,925233,27195,914631,28035,987052,27976,976439,28990,1050923,28839,1040199
74,강원삼척시,18837,600455,18790,593725,19358,638838,19311,632413,19678,669945,19633,663458,19514,688283,19416,681878
75,강원속초시,23984,672799,23937,668259,24361,716837,24299,712658,25661,782751,25600,778213,26893,849218,26824,844523
76,강원양구군,7164,227233,7133,225921,7066,235992,7041,234893,7193,246770,7167,245519,6976,248689,6953,247463
77,강원양양군,6621,185855,6539,184659,6970,200665,6822,199519,7261,222268,7202,220764,7591,241292,7474,239758
78,강원영월군,10151,313216,10129,311245,10315,332504,10288,330465,10443,347151,10407,344854,10545,366953,10517,363565
79,강원원주시,112244,3472557,112092,3445778,114751,3725573,114394,3700290,120663,4048966,120103,4025552,126864,4380867,126321,4357555
80,강원인제군,9788,317515,9712,315373,9950,332212,9839,330001,10042,348723,9961,346396,10535,371500,10436,369506
81,강원정선군,10566,309971,10537,306081,10551,325107,10531,321230,10837,339299,10813,334998,10894,360452,10875,355050
82,강원철원군,13394,399952,13321,397843,13270,418227,13192,416057,13281,434203,13220,432081,13298,450611,13236,448175
